Ticker,Filename,CharLength
AAPL,2026-04-14_19-26_Amazon Stock Pops on Double Satellite Win.txt,6139
AAPL,2026-04-14_15-18_Amazon Pays $11.57B for Globalstar to Challenge Starlink.txt,5903
AAPL,"2026-04-14_18-06_Amazon Rises 5%, Globalstar Jumps 10% as $11.57 Billion Acquisition Ignites a Satellite War With Spa.txt",7691
AAPL,"2026-04-14_15-55_Apple price target raised ahead of earnings on expectation of strong iPhone sales, Services growth.txt",6026
AAPL,2026-04-14_19-09_Apple and Amazon Partner on Satellite Deal. Why It Makes Sense..txt,4847
AAPL,2026-04-14_19-18_Why Amazon Stock Just Popped.txt,4353
AAPL,2026-04-14_17-18_Amazon acquiring Globalstar in $11.57 billion satellite deal.txt,568
AAPL,2026-04-14_20-31_Amazon Agrees To Buy Globalstar In $11.6 Billion Deal Amid Musk Space Battle.txt,4841
AAPL,2026-04-14_17-27_Globalstar Stock Rises on Amazon Takeover. The Impact on AST SpaceMobile and Iridium..txt,5128
AAPL,2026-04-14_16-46_Microsoft Raises Surface Prices Up To $500 Amid Memory Chip Shortage.txt,6654
AAPL,2026-04-14_17-56_Why This 97-Year-Old Fund Pays 8% Without Sacrificing Safety.txt,7934
AAPL,"2026-04-14_19-36_Dow Jones E-Commerce Giant Amazon, Alphabet Eye New Buy Points.txt",4821
AAPL,2026-04-14_17-30_How Starkey is staying ahead of the AI hearing-aid wave.txt,6801
AAPL,2026-04-14_17-01_Software Stocks Quietly Sold Off – Snap Up This Undervalued Tech ETF.txt,6594
AAPL,2026-04-14_16-40_Crypto News_ ByBit Is Now Letting Traders Use Bitcoin and Ethereum to Trade Stocks Like Apple and Bl.txt,8233
AAPL,2026-04-14_16-37_Amazon Declares War on StarLink_ $11.5 Billion Globalstar Deal Ignites Space Internet Battle.txt,8339
AAPL,2026-04-14_20-00_OpenAI Releases Cyber Model to Limited Group in Race With Mythos.txt,7008
AAPL,2026-04-14_19-45_Coinbase Reportedly Courts Anthropic to Bolster Exchange Security Infrastructure.txt,140
AAPL,"2026-04-14_18-14_Jim Cramer Says “Don’t Mess With Alphabet, They’re Crushing It”.txt",6817
NVDA,"2026-04-14_19-03_Will the Iran War Cause a Recession_ Here's What It Would Take, According to Wall Street.txt",5310
NVDA,"2026-04-14_20-19_Stock Market Today_ Nasdaq Shows Its Strength; Nvidia, Palantir Make These Moves (Live Coverage).txt",5036
NVDA,2026-04-14_19-18_Why Amazon Stock Just Popped.txt,4255
NVDA,2026-04-14_19-38_The _SaaSpocalypse_ Created the Best Buying Opportunity in Cybersecurity in Years. Don't Miss It..txt,6304
NVDA,2026-04-14_19-50_Better Fintech Stock for Growth Investors_ Nu Holdings vs. SoFi.txt,5962
NVDA,2026-04-14_19-49_Sector Update_ Tech Stocks Climb Late Afternoon.txt,4808
NVDA,2026-04-14_19-06_Why Occidental Petroleum Fell Today.txt,5888
NVDA,2026-04-14_20-26_Citi Initiates Infleqtion At Buy On Nvidia Pact. Quantum Computing Stocks Rally..txt,4811
NVDA,2026-04-14_19-41_Here's Why You Shouldn't Put More Than 5% of Your Portfolio in Any One Crypto.txt,3587
NVDA,2026-04-14_19-34_Rising Gas Prices Could Take This Electric Vehicle (EV) Company to _Another Level_.txt,5823
NVDA,2026-04-14_19-40_Nvidia Expands AI Push With Quantum Models.txt,6085
NVDA,2026-04-14_19-16_The Space War is Heating Up_ Amazon Just Bought a Low-Earth Orbit Satellite Company. Could it Challe.txt,5402
NVDA,2026-04-14_19-45_Nvidia's Latest AI Move Points To A Bigger Quantum Bet.txt,6215
NVDA,2026-04-14_19-05_AI Is Creating a Power Crisis. This Fuel Cell Stock Just Surged More Than 20% and Could Have More Ro.txt,5608
NVDA,2026-04-14_19-03_Why NextEra Energy Is a Safe Way to Invest in the Solar Energy Boom.txt,7992
