ticker,x,y,sector
AAPL,-49.24078,-20.541552,Technology
BAC,0.09091925,-10.460135,Financials
CAT,-62.232666,-24.132715,Industrials
CVX,4.9543996,-15.337245,Energy
DAL,-10.338239,-19.38085,Industrials
GOOGL,-59.13005,-19.839767,Technology
GS,-12.952843,-14.486855,Financials
HAL,-46.53095,-26.3427,Energy
JNJ,-42.734802,-21.615467,Healthcare
JPM,-2.4168952,-15.699292,Financials
KO,-51.91386,-25.71336,Consumer
MCD,18.013004,48.840954,Consumer
META,9.005142,54.36965,Technology
MMM,12.587705,47.285286,Industrials
MSFT,15.243474,54.099487,Technology
NKE,29.553566,47.763847,Consumer
NVDA,-6.0010715,-11.083707,Technology
PFE,6.6588764,49.366802,Healthcare
UNH,28.851728,52.43569,Healthcare
XOM,-3.0032222,-22.578215,Energy
